USPS,GEOID,INTPTLAT,INTPTLONG,note
LA,4,31.85194923,-93.34620504,
LA,5,31.99735505,-92.05513529,
LA,6,30.58360548,-91.13571751,
LA,7,30.17653593,-92.69386681,
ME,1,43.93293025,-70.09876578,
ME,2,45.56100939,-69.12510623,
MD,1,38.72125636,-75.86375609,
MD,2,39.51704133,-76.46145342,
MD,3,39.29768308,-76.70611001,
MD,4,38.88919712,-76.91153451,
MD,5,38.58410424,-76.7633165,
MD,6,39.53065924,-77.9946836,
MD,7,39.33938654,-76.75047598,
MD,8,39.14261305,-77.21976137,
MA,1,42.42995968,-72.69566945,
MA,2,42.1484279,-72.12924812,
MA,3,42.10798412,-71.51442012,
MA,4,41.91496199,-71.00019156,
MA,5,42.53809541,-71.43472867,
MA,6,42.6550215,-70.95597151,
MA,7,42.40189089,-71.22918514,
MA,8,42.3596653,-71.10290908,
MA,9,42.13239701,-71.13432978,
MA,10,41.78836608,-70.50991113,
MI,1,46.0024455,-86.58466007,
MI,2,43.57410917,-85.93917649,
MI,3,42.95109461,-85.34565527,
MI,4,43.79403476,-84.66403871,
MI,5,43.78228603,-83.38819608,
MI,6,42.08881219,-85.90821682,
MI,7,42.14384254,-84.62565677,
MI,8,42.60525395,-84.03097678,
MI,9,42.87094307,-83.32936761,
MI,10,42.86350756,-82.76640414,
MI,11,42.53799189,-83.45222729,
MI,12,42.53536487,-83.08651919,
MI,13,42.25631776,-83.51746354,
MI,14,42.41117457,-83.1277276,
MI,15,42.35643801,-83.05936211,
MI,16,41.98732265,-83.47416614,
MN,1,43.98249585,-92.88259389,
MN,2,44.5200867,-95.19548261,
MN,3,44.99291893,-93.50119402,
MN,4,44.99859662,-93.09978215,
MN,5,44.96019191,-93.29804126,
MN,6,45.04443306,-93.06324925,
MN,7,47.26388776,-95.63960679,
MN,8,47.18733466,-92.99357954,
MS,1,34.28986639,-89.15208889,
MS,2,33.22175686,-90.46358998,
MS,3,32.61696342,-89.06759538,
MS,4,31.50732239,-90.36309815,
MS,5,30.93013583,-89.05237872,
MO,1,38.73314385,-90.26470065,
MO,2,38.72479073,-90.50113228,
MO,3,38.13715308,-90.38340421,
MO,4,38.28803265,-93.22295321,
MO,5,39.00205178,-94.4334404,
MO,6,39.87464709,-93.91102532,
MO,7,37.05106692,-93.55923282,
MO,8,37.1804461,-90.81988171,
MO,9,39.37632292,-91.76639787,
MT,0,47.05223362,-109.6330222,
NE,1,41.25058103,-96.72910537,
NE,2,41.20972367,-96.12703029,
NE,3,41.59078003,-100.4871792,
NV,1,36.0969394,-115.0945385,
NV,2,39.33615385,-116.6348925,
NH,1,43.45239194,-71.2096949,
NH,2,43.77193789,-71.73257731,
NJ,1,39.78162363,-75.05642736,
NJ,2,39.45589872,-74.95979266,
NJ,3,39.83538447,-74.53391328,
NJ,4,40.10645165,-74.44094219,
NJ,5,41.03269563,-74.66841612,
NJ,6,40.42477037,-74.26725157,
NJ,7,40.57721341,-74.48196884,
NJ,8,40.87589587,-74.21301793,
NJ,9,40.84587417,-74.05810218,
NJ,10,40.70189849,-74.21070131,
NJ,11,40.86351301,-74.54440011,
NJ,12,40.45103389,-74.65963787,
NJ,13,40.67690957,-74.14682916,
NM,1,34.74372324,-106.0475105,
NM,2,33.31313918,-106.316694,
NM,3,35.86787777,-105.8315361,
NY,1,40.91580952,-72.67447896,
NY,2,40.75264061,-73.25916722,
NY,3,40.7395211,-73.54419,
NY,4,40.69350603,-73.6437491,
NY,5,40.83989996,-73.50246506,
NY,6,40.67422796,-73.77590625,
NY,7,40.77838088,-73.86634722,
NY,8,40.67651052,-73.99449842,
NY,9,40.63261856,-73.88115472,
NY,10,40.66441081,-73.9205923,
NY,11,40.65344397,-73.94924734,
NY,12,40.69423168,-73.94902821,
NY,13,40.58429931,-74.13830362,
NY,14,40.75812032,-73.9470107,
NY,15,40.81914295,-73.93339193,
NY,16,40.82941561,-73.88719216,
NY,17,40.89382511,-73.86699385,
NY,18,40.95002816,-73.77244258,
NY,19,41.45728527,-73.7690592,
NY,20,41.41701125,-74.44450138,
NY,21,42.72289773,-74.07642576,
NY,22,43.10695368,-73.79119445,
NY,23,42.71796495,-75.23108203,
NY,24,44.08356977,-74.88764832,
NY,25,42.82044116,-76.21704389,
NY,26,41.98814671,-75.08324313,
NY,27,42.89678625,-77.6962173,
NY,28,43.15583222,-77.55344724,
NY,29,43.21338412,-78.42954797,
NY,30,42.67719056,-78.76315042,
NY,31,42.32581523,-77.87987272,
NC,1,35.96292077,-77.48655807,
NC,2,35.66880358,-78.45239554,
NC,3,35.47690741,-76.76738372,
NC,4,35.88817584,-79.02762633,
NC,5,36.33497598,-80.31297707,
NC,6,35.69667947,-79.81492598,
NC,7,34.56733576,-78.40923953,
NC,8,35.0883543,-79.9351613,
NC,9,35.28559833,-81.23050127,
NC,10,35.94729718,-81.35057563,
NC,11,35.43756961,-82.8927609,
NC,12,35.71454006,-80.52221201,
ND,0,47.45010077,-100.4658797,
OH,1,39.17824562,-84.58592273,
OH,2,39.02337845,-83.92304275,
OH,3,39.76301796,-84.28073909,
OH,4,40.69269783,-83.30446563,
OH,5,41.21203217,-83.71443712,
OH,6,39.14640716,-82.68177985,
OH,7,39.83626161,-83.37362332,
OH,8,40.01590257,-84.4891097,
OH,9,41.57464672,-83.75697701,
OH,10,41.41413533,-81.81345767,
OH,11,41.48928288,-81.56556083,
OH,12,40.17521143,-82.838238,
OH,13,41.29340349,-81.46236384,
OH,14,41.11007366,-81.47781071,
OH,15,39.89888928,-83.24558762,
OH,16,40.74942267,-81.86710928,
OH,17,41.01845949,-80.74894904,
OH,18,40.08073922,-81.51494136,
OH,19,41.66127161,-80.97601329,
OK,1,36.09439342,-95.9058246,
OK,2,36.02565263,-95.48650235,
OK,3,34.70718193,-96.03167268,
OK,4,34.64351271,-98.12534671,
OK,5,36.41729421,-96.97131541,
OK,6,36.11486247,-99.44092262,
OR,1,45.68639239,-123.2955649,
OR,2,43.82393848,-119.63396,
OR,3,45.4625606,-122.2204331,
OR,4,43.57481826,-123.1950525,
OR,5,45.02672733,-123.071773,
PA,1,39.92592479,-75.21706089,
PA,2,40.0002524,-75.21257282,
PA,3,40.05243819,-75.05126886,
PA,4,40.72125301,-80.11902906,
PA,5,41.47798118,-78.38502061,
PA,6,40.59443417,-76.16073251,
PA,7,39.99399223,-75.46003918,
PA,8,40.33395526,-75.10946372,
PA,9,40.44060919,-78.0254012,
PA,10,41.56116707,-75.9599108,
PA,11,41.05021341,-76.05176005,
PA,12,40.34720233,-79.14853962,
PA,13,40.18952755,-75.33442307,
PA,14,40.49914793,-80.04756504,
PA,15,40.65626871,-75.45302824,
PA,16,39.98045592,-75.97480209,
PA,17,40.33912191,-76.68700772,
PA,18,40.39129242,-79.88207134,
PA,19,39.96654276,-77.0048077,
PA,20,40.08046361,-80.0942879,
PA,21,41.50983795,-80.10969829,
RI,1,41.79491899,-71.4156648,
RI,2,41.62181935,-71.61702152,
SC,1,33.44741662,-79.45781838,
SC,2,33.19725662,-81.12581286,
SC,3,34.22712708,-82.26574327,
SC,4,34.85306675,-82.04309127,
SC,5,34.54598319,-80.67145497,
SC,6,33.50523934,-80.19736572,
SD,0,44.44438052,-100.226904,
TN,1,36.20478845,-82.82241734,
TN,2,35.59287755,-84.24908579,
TN,3,35.52607744,-85.01886961,
TN,4,35.72104191,-85.80763125,
TN,5,36.32861555,-86.81131865,
TN,6,36.1257113,-86.134553,
TN,7,35.64403432,-88.09380303,
TN,8,35.99164936,-88.82620284,
TN,9,35.08650864,-90.02063448,
TX,1,32.89515349,-94.89604166,
TX,2,30.93780875,-94.71731387,
TX,3,32.9938136,-96.65426175,
TX,4,33.09529407,-96.23472939,
TX,5,31.60251082,-96.10595945,
TX,6,32.65857754,-97.25765319,
TX,7,29.89280081,-95.70320523,
TX,8,30.25157846,-95.9477466,
TX,9,29.74623443,-94.51660634,
TX,10,30.31459484,-97.7169081,
TX,11,31.38642035,-97.84617059,
TX,12,32.62878176,-97.57102194,
TX,13,34.43256752,-100.5372625,
TX,14,29.49671349,-96.89420382,
TX,15,27.87577432,-97.86208855,
TX,16,31.70609703,-106.3052063,
TX,17,32.4966203,-99.73054537,
TX,18,29.80727449,-95.40651736,
TX,19,34.52667702,-102.3561405,
TX,20,29.3873143,-98.6276563,
TX,21,30.71736735,-99.65588339,
TX,22,29.42803542,-95.56764029,
TX,23,30.31003236,-102.3548788,
TX,24,32.22911821,-96.64672212,
TX,25,29.69785812,-95.21533543,
TX,26,33.0736919,-97.04165639,
TX,27,26.93088898,-97.62671308,
TX,28,28.01039156,-98.68452252,
TX,29,29.85613032,-95.29846008,
